10:08:28 | INFO    | __main__ | wandb logging enabled (project=bridge-anchors, run=cap_lb_0.1).
10:08:28 | INFO    | __main__ | Starting training for 20 epochs...
10:08:28 | INFO    | __main__ | Config: model=bridge_anchors K=128 bs=1024 lr=8.0e-03 temp=0.070 grad_clip=1.0 ortho=0.000 lb=0.100
10:11:23 | INFO    | __main__ | Epoch   1/20 | loss=3.2675 | lr=3.96e-03 | 149.6s | R@1=11.1/12.8 R@5=26.2/28.3 mR=25.1
10:11:23 | INFO    | __main__ |   ↑ New best mean recall: 25.06
10:14:12 | INFO    | __main__ | Epoch   2/20 | loss=1.9068 | lr=7.89e-03 | 142.2s | R@1=14.6/16.1 R@5=31.7/33.9 mR=30.1
10:14:12 | INFO    | __main__ |   ↑ New best mean recall: 30.13
/opt/conda/lib/python3.11/site-packages/torch/optim/lr_scheduler.py:232: UserWarning: The epoch parameter in `scheduler.step()` was not necessary and is being deprecated where possible. Please use `scheduler.step()` to step the scheduler. During the deprecation, if epoch is different from None, the closed form is used instead of the new chainable form, where available. Please open an issue if you are unable to replicate your use case: https://github.com/pytorch/pytorch/issues/new/choose.
  warnings.warn(EPOCH_DEPRECATION_WARNING, UserWarning)
10:16:41 | INFO    | __main__ | Epoch   3/20 | loss=1.7556 | lr=7.95e-03 | 123.2s | R@1=16.3/18.6 R@5=35.0/37.5 mR=33.2
10:16:41 | INFO    | __main__ |   ↑ New best mean recall: 33.23
10:19:10 | INFO    | __main__ | Epoch   4/20 | loss=1.6834 | lr=7.78e-03 | 123.9s | R@1=17.1/19.1 R@5=36.0/38.0 mR=33.9
10:19:10 | INFO    | __main__ |   ↑ New best mean recall: 33.94
10:21:40 | INFO    | __main__ | Epoch   5/20 | loss=1.6357 | lr=7.50e-03 | 127.0s | R@1=17.7/19.7 R@5=36.4/39.1 mR=34.6
10:21:40 | INFO    | __main__ |   ↑ New best mean recall: 34.62
10:24:08 | INFO    | __main__ | Epoch   6/20 | loss=1.6107 | lr=7.11e-03 | 125.3s | R@1=17.8/20.1 R@5=36.6/39.1 mR=34.8
10:24:08 | INFO    | __main__ |   ↑ New best mean recall: 34.84
10:26:39 | INFO    | __main__ | Epoch   7/20 | loss=1.5895 | lr=6.64e-03 | 126.7s | R@1=18.4/20.5 R@5=37.6/39.9 mR=35.6
10:26:39 | INFO    | __main__ |   ↑ New best mean recall: 35.65
10:29:07 | INFO    | __main__ | Epoch   8/20 | loss=1.5721 | lr=6.09e-03 | 123.7s | R@1=18.1/20.6 R@5=37.6/40.2 mR=35.7
10:29:07 | INFO    | __main__ |   ↑ New best mean recall: 35.68
10:31:44 | INFO    | __main__ | Epoch   9/20 | loss=1.5517 | lr=5.48e-03 | 130.8s | R@1=18.3/20.9 R@5=37.7/40.2 mR=35.8
10:31:45 | INFO    | __main__ |   ↑ New best mean recall: 35.83
10:34:51 | INFO    | __main__ | Epoch  10/20 | loss=1.5412 | lr=4.82e-03 | 159.9s | R@1=18.7/21.0 R@5=38.4/40.7 mR=36.3
10:34:51 | INFO    | __main__ |   ↑ New best mean recall: 36.31
10:37:12 | INFO    | __main__ | Epoch  11/20 | loss=1.5274 | lr=4.14e-03 | 117.1s | R@1=18.5/21.0 R@5=38.2/40.8 mR=36.2
10:39:34 | INFO    | __main__ | Epoch  12/20 | loss=1.5116 | lr=3.46e-03 | 117.9s | R@1=19.0/21.4 R@5=38.6/41.1 mR=36.6
10:39:34 | INFO    | __main__ |   ↑ New best mean recall: 36.62
10:42:02 | INFO    | __main__ | Epoch  13/20 | loss=1.4934 | lr=2.79e-03 | 124.1s | R@1=18.8/21.2 R@5=38.4/40.7 mR=36.4
10:44:28 | INFO    | __main__ | Epoch  14/20 | loss=1.4782 | lr=2.16e-03 | 123.6s | R@1=18.8/21.2 R@5=38.4/40.9 mR=36.4
10:46:54 | INFO    | __main__ | Epoch  15/20 | loss=1.4590 | lr=1.58e-03 | 123.5s | R@1=19.1/21.5 R@5=38.7/41.2 mR=36.7
10:46:54 | INFO    | __main__ |   ↑ New best mean recall: 36.74
10:49:11 | INFO    | __main__ | Epoch  16/20 | loss=1.4405 | lr=1.07e-03 | 113.4s | R@1=19.2/21.4 R@5=39.1/41.5 mR=36.9
10:49:11 | INFO    | __main__ |   ↑ New best mean recall: 36.89
10:51:19 | INFO    | __main__ | Epoch  17/20 | loss=1.4229 | lr=6.50e-04 | 102.9s | R@1=19.5/21.4 R@5=38.9/41.4 mR=36.9
10:51:19 | INFO    | __main__ |   ↑ New best mean recall: 36.92
10:53:26 | INFO    | __main__ | Epoch  18/20 | loss=1.4058 | lr=3.26e-04 | 103.7s | R@1=19.4/21.5 R@5=38.9/41.4 mR=36.9
10:55:34 | INFO    | __main__ | Epoch  19/20 | loss=1.3969 | lr=1.10e-04 | 104.8s | R@1=19.4/21.5 R@5=38.8/41.3 mR=36.9
10:57:41 | INFO    | __main__ | Epoch  20/20 | loss=1.3863 | lr=8.20e-06 | 105.3s | R@1=19.4/21.5 R@5=38.9/41.3 mR=36.9
